country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tajikistan,983,915,733,567,427,374,354,349,364,361,342,331,326,326,345,338,342,358,334,285,284,279,295,288,302,319,327,329,348,371,375,368,375,
Turkmenistan,4640,3930,2630,2600,3230,3270,2810,2760,2840,3300,3250,2700,2210,3010,3710,3550,3600,3510,4240,3650,4080,4320,4230,3950,3760,3720,3590,3560,3430,3470,3400,5130,5630,
Timor-Leste,,,,,,,,,,,,,,,62.4,61.2,60.4,60.7,,,,,,,,,,,,,,,,
Tonga,254,,,,,,,,,,,,,,542,539,536,543,,,,,,,,,,,,,,,,
Trinidad and Tobago,4780,4720,5150,4760,4800,4620,5650,5810,6250,7070,7580,8340,8990,10.1k,10.3k,12.4k,13.8k,14.7k,14.2k,14.2k,15k,14.8k,14.5k,14.3k,14.6k,14k,12.3k,12.3k,12.4k,12.5k,10.7k,11.2k,11k,
Tunisia,594,576,628,599,636,634,653,664,715,730,748,781,784,797,833,811,846,866,894,860,956,903,930,936,940,953,955,974,973,951,897,964,956,
Turkey,918,887,911,955,927,998,1070,1110,1110,1080,1170,1060,1110,1160,1180,1210,1330,1430,1390,1360,1450,1520,1570,1510,1540,1650,1720,1830,1770,1770,1760,1890,1840,1850
Tanzania,297,297,296,307,354,362,360,357,370,383,394,397,406,411,415,426,429,419,415,415,421,433,425,432,415,420,416,406,403,415,406,404,405,
Uganda,402,403,403,399,396,398,401,400,396,390,387,386,387,388,389,392,394,397,403,415,421,429,436,449,456,471,474,469,469,455,475,483,483,
Ukraine,4840,4840,4200,3720,3180,3170,2930,2830,2690,2700,2700,2730,2790,2910,2960,2960,2870,2960,2880,2450,2850,2730,2650,2520,2300,2030,2010,1970,2070,1990,1930,1990,1490,
Uruguay,725,782,859,796,757,805,884,894,915,995,949,832,772,775,885,917,990,986,1270,1250,1230,1330,1410,1380,1400,1490,1550,1510,1560,1540,1530,1640,1630,
USA,7670,7630,7680,7710,7760,7760,7840,7830,7800,7920,8060,7820,7840,7790,7880,7840,7690,7760,7480,7050,7160,7010,6830,6900,6930,6810,6690,6620,6770,6740,6140,6440,6520,6430
Uzbekistan,2320,2290,2100,2130,2060,1710,1740,1750,1790,1840,1870,1860,1910,1820,1780,1660,1700,1630,1660,1490,1590,1600,1390,1350,1240,1170,1210,1250,1270,1290,1350,1470,1380,
St. Vincent and the Grenadines,263,,,,,,,,,,,,,,585,596,625,628,,,,,,,,,,,,,,,,
Venezuela,2000,2040,2230,2030,2300,2110,2200,2150,2220,2400,2390,2190,2650,2430,2310,2370,2380,2390,2350,2230,2620,2310,2310,2530,2170,2090,1900,1800,1380,1400,1100,1320,1480,
Vietnam,273,271,277,295,290,304,316,336,353,358,372,393,425,441,485,509,515,545,572,615,670,664,664,675,746,679,739,757,886,987,991,962,1020,
Vanuatu,157,,,,,,,,,,,,,,146,142,144,158,,,,,,,,,,,,,,,,
Samoa,256,,,,,,,,,,,,,,301,305,304,307,,,,,,,,,,,,,,,,
Yemen,181,212,223,186,187,204,202,207,215,235,242,260,245,264,280,289,300,284,290,311,292,240,211,282,260,120,83.4,72,93.9,92.7,77.6,71.3,68.9,
South Africa,2200,2210,2070,2160,2230,2320,2360,2380,2400,2330,2250,2160,2050,2280,2460,2350,2380,2560,2720,2720,2500,2520,2380,2320,2420,2240,2300,2270,2170,2220,2010,2030,1980,
Zambia,698,700,695,679,668,663,642,652,642,629,596,596,604,611,612,608,604,597,617,620,629,646,662,672,683,687,684,703,726,742,759,770,801,
Zimbabwe,917,947,951,897,889,897,878,853,856,899,556,540,520,477,449,479,494,473,416,418,420,445,455,463,460,454,423,416,445,412,374,406,417,
